country_key,country_name,iso_code,regional_indicator
G0001,Afghanistan,AFG,South Asia
G0002,Albania,ALB,Central and Eastern Europe
G0003,Algeria,DZA,Middle East and North Africa
G0004,Angola,AGO,Unknown
G0005,Argentina,ARG,Latin America and Caribbean
G0006,Armenia,ARM,Commonwealth of Independent States
G0007,Australia,AUS,North America and ANZ
G0008,Austria,AUT,Western Europe
G0009,Azerbaijan,AZE,Commonwealth of Independent States
G0010,Bahrain,BHR,Middle East and North Africa
G0011,Bangladesh,BGD,South Asia
G0012,Belarus,BLR,Commonwealth of Independent States
G0013,Belgium,BEL,Western Europe
G0014,Belize,BLZ,Unknown
G0015,Benin,BEN,Sub-Saharan Africa
G0016,Bhutan,BTN,Unknown
G0017,Bolivia,BOL,Latin America and Caribbean
G0018,Bosnia and Herzegovina,BIH,Central and Eastern Europe
G0019,Botswana,BWA,Sub-Saharan Africa
G0020,Brazil,BRA,Latin America and Caribbean
G0021,Bulgaria,BGR,Central and Eastern Europe
G0022,Burkina Faso,BFA,Sub-Saharan Africa
G0023,Burundi,BDI,Sub-Saharan Africa
G0024,Cambodia,KHM,Southeast Asia
G0025,Cameroon,CMR,Sub-Saharan Africa
G0026,Canada,CAN,North America and ANZ
G0027,Central African Republic,CAF,Unknown
G0028,Chad,TCD,Sub-Saharan Africa
G0029,Chile,CHL,Latin America and Caribbean
G0030,China,CHN,East Asia
G0031,Colombia,COL,Latin America and Caribbean
G0032,Comoros,COM,Sub-Saharan Africa
G0033,Congo (Brazzaville),COG,Sub-Saharan Africa
G0034,Congo (Kinshasa),COD,Unknown
G0035,Costa Rica,CRI,Latin America and Caribbean
G0036,Croatia,HRV,Central and Eastern Europe
G0037,Cuba,CUB,Unknown
G0038,Cyprus,CYP,Western Europe
G0039,Czech Republic,CZE,Central and Eastern Europe
G0040,Denmark,DNK,Western Europe
G0041,Djibouti,DJI,Unknown
G0042,Dominican Republic,DOM,Latin America and Caribbean
G0043,Ecuador,ECU,Latin America and Caribbean
G0044,Egypt,EGY,Middle East and North Africa
G0045,El Salvador,SLV,Latin America and Caribbean
G0046,Estonia,EST,Central and Eastern Europe
G0047,Ethiopia,ETH,Sub-Saharan Africa
G0048,Finland,FIN,Western Europe
G0049,France,FRA,Western Europe
G0050,Gabon,GAB,Sub-Saharan Africa
G0051,Gambia,GMB,Sub-Saharan Africa
G0052,Georgia,GEO,Commonwealth of Independent States
G0053,Germany,DEU,Western Europe
G0054,Ghana,GHA,Sub-Saharan Africa
G0055,Greece,GRC,Western Europe
G0056,Guatemala,GTM,Latin America and Caribbean
G0057,Guinea,GIN,Sub-Saharan Africa
G0058,Guyana,GUY,Unknown
G0059,Haiti,HTI,Latin America and Caribbean
G0060,Honduras,HND,Latin America and Caribbean
G0061,Hong Kong S.A.R. of China,HKG,East Asia
G0062,Hungary,HUN,Central and Eastern Europe
G0063,Iceland,ISL,Western Europe
G0064,India,IND,South Asia
G0065,Indonesia,IDN,Southeast Asia
G0066,Iran,IRN,Middle East and North Africa
G0067,Iraq,IRQ,Middle East and North Africa
G0068,Ireland,IRL,Western Europe
G0069,Israel,ISR,Middle East and North Africa
G0070,Italy,ITA,Western Europe
G0071,Ivory Coast,CIV,Sub-Saharan Africa
G0072,Jamaica,JAM,Latin America and Caribbean
G0073,Japan,JPN,East Asia
G0074,Jordan,JOR,Middle East and North Africa
G0075,Kazakhstan,KAZ,Commonwealth of Independent States
G0076,Kenya,KEN,Sub-Saharan Africa
G0077,Kosovo,XKX,Central and Eastern Europe
G0078,Kuwait,KWT,Middle East and North Africa
G0079,Kyrgyzstan,KGZ,Commonwealth of Independent States
G0080,Laos,LAO,Southeast Asia
G0081,Latvia,LVA,Central and Eastern Europe
G0082,Lebanon,LBN,Middle East and North Africa
G0083,Lesotho,LSO,Sub-Saharan Africa
G0084,Liberia,LBR,Sub-Saharan Africa
G0085,Libya,LBY,Middle East and North Africa
G0086,Lithuania,LTU,Central and Eastern Europe
G0087,Luxembourg,LUX,Western Europe
G0088,Madagascar,MDG,Sub-Saharan Africa
G0089,Malawi,MWI,Sub-Saharan Africa
G0090,Malaysia,MYS,Southeast Asia
G0091,Maldives,MDV,South Asia
G0092,Mali,MLI,Sub-Saharan Africa
G0093,Malta,MLT,Western Europe
G0094,Mauritania,MRT,Sub-Saharan Africa
G0095,Mauritius,MUS,Sub-Saharan Africa
G0096,Mexico,MEX,Latin America and Caribbean
