country_key,date_key,governance_key,economy_key,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_raw_score,corruption_raw_score,positive_affect,negative_affect,population,number_of_internet_users,internet_penetration_rate
G0001,4,GOV02,ECO02,3.724,7.37,0.451,50.8,0.718,0.882,0.518,0.258,26482631.0,487280.4,1.8399999607289774
G0001,5,GOV02,ECO02,4.402,7.54,0.552,51.2,0.679,0.85,0.584,0.237,27466102.0,975046.6,3.5499999235421176
G0001,6,GOV06,ECO02,4.758,7.647,0.539,51.6,0.6,0.707,0.618,0.275,28284088.0,1131363.5,3.999999929288864
G0001,7,GOV06,ECO02,3.832,7.62,0.521,51.92,0.496,0.731,0.611,0.267,29347708.0,1467385.4,5.0
G0001,8,GOV02,ECO02,3.783,7.705,0.521,52.24,0.531,0.776,0.71,0.268,30560036.0,1666911.1,5.454545603283975
G0001,9,GOV02,ECO02,3.572,7.725,0.484,52.56,0.578,0.823,0.621,0.273,31622709.0,1865739.9,5.900000218197625
G0001,10,GOV02,ECO02,3.131,7.718,0.526,52.88,0.509,0.871,0.532,0.375,32792528.0,2295477.0,7.000000121979007
G0001,11,GOV02,ECO02,3.983,7.702,0.529,53.2,0.389,0.881,0.554,0.339,33831767.0,2794504.0,8.260000135375725
G0001,12,GOV02,ECO02,4.22,7.697,0.559,53.0,0.523,0.793,0.565,0.348,34700613.0,3817067.5,11.000000201725543
G0001,13,GOV02,ECO02,2.662,7.697,0.491,52.8,0.427,0.954,0.496,0.371,35688941.0,4818007.0,13.499999901930405
G0001,14,GOV02,ECO02,2.694,7.692,0.508,52.6,0.374,0.928,0.424,0.405,36743040.0,6172830.5,16.79999940124715
G0001,15,GOV02,ECO02,2.375,7.697,0.42,52.4,0.394,0.924,0.351,0.502,37856125.0,6662678.0,17.6
G0002,3,GOV02,ECO02,4.634,9.142,0.821,65.8,0.529,0.875,0.553,0.246,3022887.0,454524.78,15.036115475040912
G0002,5,GOV02,ECO02,5.485,9.262,0.833,66.2,0.525,0.864,0.64,0.279,2961487.0,1220132.6,41.1999985142599
G0002,6,GOV06,ECO02,5.269,9.303,0.733,66.4,0.569,0.726,0.648,0.3,2928731.0,1317929.0,45.00000170722405
G0002,7,GOV02,ECO02,5.867,9.331,0.759,66.68,0.487,0.877,0.628,0.257,2911499.0,1368404.5,46.99999896960294
G0002,8,GOV02,ECO02,5.51,9.347,0.785,66.96,0.602,0.848,0.607,0.271,2910003.0,1437541.5,49.400000618556064
G0002,9,GOV02,ECO02,4.551,9.359,0.759,67.24,0.632,0.863,0.634,0.338,2907571.0,1506121.8,51.800000756645325
G0002,10,GOV02,ECO02,4.814,9.378,0.626,67.52,0.735,0.883,0.685,0.335,2903748.0,1576735.1,54.29999779595199
G0002,11,GOV02,ECO02,4.607,9.403,0.639,67.8,0.704,0.885,0.688,0.35,2898634.0,1649322.8,56.900001862946475
G0002,12,GOV02,ECO02,4.511,9.437,0.638,68.1,0.73,0.901,0.675,0.322,2897868.0,1727129.2,59.59999558295961
G0002,13,GOV01,ECO02,4.64,9.476,0.638,68.4,0.75,0.876,0.669,0.334,2898245.0,1808504.9,62.40000069007279
G0002,14,GOV01,ECO02,5.004,9.518,0.684,68.7,0.824,0.899,0.713,0.319,2894229.0,1892825.8,65.40000117475155
G0002,15,GOV01,ECO02,4.995,9.544,0.686,69.0,0.777,0.914,0.681,0.274,2885011.0,1977686.4,68.5503937419996
G0002,16,GOV01,ECO02,5.365,9.497,0.71,69.3,0.754,0.891,0.679,0.265,2871950.0,2074630.0,72.23767823255976
G0003,6,GOV06,ECO02,5.464,9.287,,64.5,0.593,0.618,,,36188237.0,4523529.5,12.499999654583892
